Index	X	Y	Z	cost	equivalent_radius	branch_id	vadose_flag
109	155.0705566406	555.3278808594	390.8907470703	0.1099154949	0.0000000000	7.0000000000	1.0000000000
110	155.0705566406	555.3278808594	390.8907470703	0.1099154949	0.0000000000	7.0000000000	1.0000000000
110	153.4255065918	554.2252807617	397.2428894043	0.0930631161	0.0000000000	7.0000000000	1.0000000000
111	153.4255065918	554.2252807617	397.2428894043	0.0930631161	0.0000000000	7.0000000000	1.0000000000
111	153.6392517090	558.7039184570	406.2499084473	0.1449309587	0.0000000000	7.0000000000	1.0000000000
112	153.6392517090	558.7039184570	406.2499084473	0.1449309587	0.0000000000	7.0000000000	1.0000000000
112	153.7301025391	555.0606079102	414.2763366699	0.1253769994	0.0000000000	7.0000000000	1.0000000000
113	153.7301025391	555.0606079102	414.2763366699	0.1253769994	0.0000000000	7.0000000000	1.0000000000
113	157.9947204590	553.2283935547	420.6015014648	0.1348941922	0.0000000000	7.0000000000	1.0000000000
114	157.9947204590	553.2283935547	420.6015014648	0.1348941922	0.0000000000	7.0000000000	1.0000000000
114	158.1148376465	555.5137939453	431.1816406250	0.0915591121	0.0000000000	7.0000000000	1.0000000000
115	158.1148376465	555.5137939453	431.1816406250	0.0915591121	0.0000000000	7.0000000000	1.0000000000
115	156.1362457275	553.4481201172	436.1672668457	0.0913205743	0.0000000000	7.0000000000	1.0000000000
116	156.1362457275	553.4481201172	436.1672668457	0.0913205743	0.0000000000	7.0000000000	1.0000000000
116	155.8336944580	548.3849487305	447.1310424805	0.1729300022	0.0000000000	7.0000000000	1.0000000000
117	155.8336944580	548.3849487305	447.1310424805	0.1729300022	0.0000000000	7.0000000000	1.0000000000
117	155.7872619629	547.6928100586	450.2679748535	0.0443463326	0.0000000000	7.0000000000	1.0000000000
118	155.7872619629	547.6928100586	450.2679748535	0.0443463326	0.0000000000	7.0000000000	1.0000000000
118	157.0192413330	547.0701293945	452.6493225098	0.0494303703	0.0000000000	7.0000000000	1.0000000000
119	157.0192413330	547.0701293945	452.6493225098	0.0494303703	0.0000000000	7.0000000000	1.0000000000
119	159.4207000732	546.2090454102	462.8805541992	0.1825682670	0.0000000000	7.0000000000	1.0000000000
120	159.4207000732	546.2090454102	462.8805541992	0.1825682670	0.0000000000	7.0000000000	1.0000000000
120	157.1609802246	544.7370605469	474.8090820312	0.1695007533	0.0000000000	7.0000000000	1.0000000000
121	397.3040161133	445.0975036621	365.9069824219	0.1239514351	0.0000000000	9.0000000000	0.0000000000
121	391.5200195312	442.1840209961	366.1684875488	0.0886421204	0.0000000000	9.0000000000	0.0000000000
122	391.5200195312	442.1840209961	366.1684875488	0.0886421204	0.0000000000	9.0000000000	0.0000000000
122	384.3925170898	437.7545166016	366.4909973145	0.1149129868	0.0000000000	9.0000000000	0.0000000000
123	384.3925170898	437.7545166016	366.4909973145	0.1149129868	0.0000000000	9.0000000000	0.0000000000
123	383.6000061035	424.8500061035	366.5270080566	0.1770262718	0.0000000000	9.0000000000	0.0000000000
124	383.6000061035	424.8500061035	366.5270080566	0.1770262718	0.0000000000	9.0000000000	0.0000000000
124	380.2186279297	422.5193176270	365.3648376465	0.0636725426	0.0000000000	9.0000000000	0.0000000000
125	380.2186279297	422.5193176270	365.3648376465	0.0636725426	0.0000000000	9.0000000000	0.0000000000
125	379.7879943848	411.7850036621	366.7000122070	0.1481928825	0.0000000000	9.0000000000	0.0000000000
126	379.7879943848	411.7850036621	366.7000122070	0.1481928825	0.0000000000	9.0000000000	0.0000000000
126	379.3900146484	405.0095214844	366.7180175781	0.0928311348	0.0000000000	9.0000000000	0.0000000000
127	379.3900146484	405.0095214844	366.7180175781	0.0928311348	0.0000000000	9.0000000000	0.0000000000
127	379.4414978027	391.2114868164	366.7155151367	0.1889424324	0.0000000000	9.0000000000	0.0000000000
128	379.4414978027	391.2114868164	366.7155151367	0.1889424324	0.0000000000	9.0000000000	0.0000000000
128	380.6348571777	377.2049255371	366.4527587891	0.1955051422	0.0000000000	9.0000000000	0.0000000000
129	380.6348571777	377.2049255371	366.4527587891	0.1955051422	0.0000000000	9.0000000000	0.0000000000
129	377.1008300781	371.7123413086	365.3680114746	0.1223473549	0.0000000000	9.0000000000	0.0000000000
130	377.1008300781	371.7123413086	365.3680114746	0.1223473549	0.0000000000	9.0000000000	0.0000000000
130	377.0914916992	365.1309814453	366.8215026855	0.0921835899	0.0000000000	9.0000000000	0.0000000000
131	377.0914916992	365.1309814453	366.8215026855	0.0921835899	0.0000000000	9.0000000000	0.0000000000
131	367.1072998047	358.8188171387	367.1014099121	0.1638305187	0.0000000000	9.0000000000	0.0000000000
132	367.1072998047	358.8188171387	367.1014099121	0.1638305187	0.0000000000	9.0000000000	0.0000000000
132	367.0725097656	355.9929809570	367.2750244141	0.0386016369	0.0000000000	9.0000000000	0.0000000000
133	367.0725097656	355.9929809570	367.2750244141	0.0386016369	0.0000000000	9.0000000000	0.0000000000
133	357.7877197266	351.5373840332	366.8278503418	0.1498775482	0.0000000000	9.0000000000	0.0000000000
134	357.7877197266	351.5373840332	366.8278503418	0.1498775482	0.0000000000	9.0000000000	0.0000000000
134	357.8115234375	347.5175170898	367.6940002441	0.0561599731	0.0000000000	9.0000000000	0.0000000000
135	357.8115234375	347.5175170898	367.6940002441	0.0561599731	0.0000000000	9.0000000000	0.0000000000
135	347.8107910156	341.4345397949	368.0278930664	0.1617376804	0.0000000000	9.0000000000	0.0000000000
136	347.8107910156	341.4345397949	368.0278930664	0.1617376804	0.0000000000	9.0000000000	0.0000000000
136	340.3154907227	330.9840087891	368.4860229492	0.2202513218	0.0000000000	9.0000000000	0.0000000000
