Index	X	Y	Z	cost	equivalent_radius	branch_id	vadose_flag
71	436.3670043945	337.2149963379	315.0750122070	0.1785511971	0.0000000000	8.0000000000	1.0000000000
72	436.3670043945	337.2149963379	315.0750122070	0.1785511971	0.0000000000	8.0000000000	1.0000000000
72	431.7200012207	335.6799926758	321.4039916992	0.1211204529	0.0000000000	8.0000000000	1.0000000000
73	431.7200012207	335.6799926758	321.4039916992	0.1211204529	0.0000000000	8.0000000000	1.0000000000
73	422.5950012207	336.9089965820	328.4689941406	0.1902027130	0.0000000000	8.0000000000	1.0000000000
74	422.5950012207	336.9089965820	328.4689941406	0.1902027130	0.0000000000	8.0000000000	1.0000000000
74	413.0719909668	333.4630126953	336.6159973145	0.2114067078	0.0000000000	8.0000000000	1.0000000000
75	413.0719909668	333.4630126953	336.6159973145	0.2114067078	0.0000000000	8.0000000000	1.0000000000
75	403.4330139160	331.4110107422	346.0639953613	0.2159523964	0.0000000000	8.0000000000	1.0000000000
76	403.4330139160	331.4110107422	346.0639953613	0.2159523964	0.0000000000	8.0000000000	1.0000000000
76	398.6180114746	330.6350097656	351.4790039062	0.1127276421	0.0000000000	8.0000000000	1.0000000000
77	398.6180114746	330.6350097656	351.4790039062	0.1127276421	0.0000000000	8.0000000000	1.0000000000
77	392.0390014648	331.7590026855	359.7269897461	0.1616277695	0.0000000000	8.0000000000	1.0000000000
78	392.0390014648	331.7590026855	359.7269897461	0.1616277695	0.0000000000	8.0000000000	1.0000000000
78	384.3959960938	331.7929992676	366.8580017090	0.1660542488	0.0000000000	8.0000000000	1.0000000000
79	384.3959960938	331.7929992676	366.8580017090	0.1660542488	0.0000000000	8.0000000000	1.0000000000
79	374.1210021973	329.0209960938	373.8250122070	0.2137877941	0.0000000000	8.0000000000	1.0000000000
80	374.1210021973	329.0209960938	373.8250122070	0.2137877941	0.0000000000	8.0000000000	1.0000000000
80	364.6010131836	328.8599853516	381.4240112305	0.1983938217	0.0000000000	8.0000000000	1.0000000000
81	364.6010131836	328.8599853516	381.4240112305	0.1983938217	0.0000000000	8.0000000000	1.0000000000
81	357.2730102539	329.1740112305	388.4159851074	0.1604330540	0.0000000000	8.0000000000	1.0000000000
82	357.2730102539	329.1740112305	388.4159851074	0.1604330540	0.0000000000	8.0000000000	1.0000000000
82	350.0799865723	329.1319885254	395.2309875488	0.1570291519	0.0000000000	8.0000000000	1.0000000000
83	350.0799865723	329.1319885254	395.2309875488	0.1570291519	0.0000000000	8.0000000000	1.0000000000
83	336.2590026855	325.3699951172	404.6629943848	0.1704425812	0.0000000000	8.0000000000	1.0000000000
84	336.2590026855	325.3699951172	404.6629943848	0.1704425812	0.0000000000	8.0000000000	1.0000000000
84	329.1119995117	325.2099914551	405.4230041504	0.0933346748	0.0000000000	8.0000000000	1.0000000000
85	329.1119995117	325.2099914551	405.4230041504	0.0933346748	0.0000000000	8.0000000000	1.0000000000
85	310.0650024414	325.1979980469	407.3649902344	0.2491285801	0.0000000000	8.0000000000	1.0000000000
86	310.0650024414	325.1979980469	407.3649902344	0.2491285801	0.0000000000	8.0000000000	1.0000000000
86	291.2250061035	324.9830017090	409.2690124512	0.2465298176	0.0000000000	8.0000000000	1.0000000000
87	291.2250061035	324.9830017090	409.2690124512	0.2465298176	0.0000000000	8.0000000000	1.0000000000
87	276.7950134277	326.5159912109	410.3229980469	0.1953508854	0.0000000000	8.0000000000	1.0000000000
88	276.7950134277	326.5159912109	410.3229980469	0.1953508854	0.0000000000	8.0000000000	1.0000000000
88	261.3399963379	325.3399963379	412.1279907227	0.2020697594	0.0000000000	8.0000000000	1.0000000000
89	261.3399963379	325.3399963379	412.1279907227	0.2020697594	0.0000000000	8.0000000000	1.0000000000
89	246.9029998779	328.2929992676	413.2059936523	0.1958098412	0.0000000000	8.0000000000	1.0000000000
90	246.9029998779	328.2929992676	413.2059936523	0.1958098412	0.0000000000	8.0000000000	1.0000000000
90	234.3609924316	324.7760009766	414.8450012207	0.1687241793	0.0000000000	8.0000000000	1.0000000000
91	234.3609924316	324.7760009766	414.8450012207	0.1687241793	0.0000000000	8.0000000000	1.0000000000
91	228.5460052490	324.3789978027	414.7040100098	0.0853098631	0.0000000000	8.0000000000	1.0000000000
92	228.5460052490	324.3789978027	414.7040100098	0.0853098631	0.0000000000	8.0000000000	1.0000000000
92	215.0480041504	324.9779968262	416.7969970703	0.1730687618	0.0000000000	8.0000000000	1.0000000000
93	215.0480041504	324.9779968262	416.7969970703	0.1730687618	0.0000000000	8.0000000000	1.0000000000
93	208.0959930420	324.1780090332	418.8489990234	0.0946947336	0.0000000000	8.0000000000	1.0000000000
94	208.0959930420	324.1780090332	418.8489990234	0.0946947336	0.0000000000	8.0000000000	1.0000000000
94	195.3459930420	325.2449951172	418.7749938965	0.1758903265	0.0000000000	8.0000000000	1.0000000000
95	195.3459930420	325.2449951172	418.7749938965	0.1758903265	0.0000000000	8.0000000000	1.0000000000
95	177.8320007324	321.8439941406	420.5429992676	0.2414575815	0.0000000000	8.0000000000	1.0000000000
96	177.8320007324	321.8439941406	420.5429992676	0.2414575815	0.0000000000	8.0000000000	1.0000000000
96	171.7079925537	319.7950134277	424.8190002441	0.0971770883	0.0000000000	8.0000000000	1.0000000000
97	171.7079925537	319.7950134277	424.8190002441	0.0971770883	0.0000000000	8.0000000000	1.0000000000
97	168.8090057373	319.6340026855	428.1879882812	0.0578835607	0.0000000000	8.0000000000	1.0000000000
98	168.8090057373	319.6340026855	428.1879882812	0.0578835607	0.0000000000	8.0000000000	1.0000000000
98	163.5279998779	317.7420043945	436.0199890137	0.1415959001	0.0000000000	8.0000000000	1.0000000000
99	163.5279998779	317.7420043945	436.0199890137	0.1415959001	0.0000000000	8.0000000000	1.0000000000
99	155.0019989014	318.0570068359	443.3479919434	0.1810216904	0.0000000000	8.0000000000	1.0000000000
100	155.0019989014	318.0570068359	443.3479919434	0.1810216904	0.0000000000	8.0000000000	1.0000000000
100	147.6159973145	315.6520080566	452.7219848633	0.1860663295	0.0000000000	8.0000000000	1.0000000000
101	147.6159973145	315.6520080566	452.7219848633	0.1860663295	0.0000000000	8.0000000000	1.0000000000
101	142.7299957275	314.1480102539	463.0060119629	0.1656524837	0.0000000000	8.0000000000	1.0000000000
102	142.7299957275	314.1480102539	463.0060119629	0.1656524837	0.0000000000	8.0000000000	1.0000000000
102	137.7108001709	316.7383728027	472.3218078613	0.2348180115	0.0000000000	8.0000000000	1.0000000000
103	461.4989929199	346.0480041504	282.2879943848	0.0103874207	0.0000000000	9.0000000000	1.0000000000
103	455.3670043945	352.1329956055	282.7260131836	0.0134315491	0.0000000000	9.0000000000	1.0000000000
104	455.3670043945	352.1329956055	282.7260131836	0.0134315491	0.0000000000	9.0000000000	1.0000000000
104	442.3670043945	355.8670043945	281.1449890137	0.1974992752	0.0000000000	9.0000000000	1.0000000000
105	442.3670043945	355.8670043945	281.1449890137	0.1974992752	0.0000000000	9.0000000000	1.0000000000
105	435.0910034180	360.3219909668	282.3160095215	0.1183152199	0.0000000000	9.0000000000	1.0000000000
106	435.0910034180	360.3219909668	282.3160095215	0.1183152199	0.0000000000	9.0000000000	1.0000000000
106	416.3049926758	368.6260070801	282.4729919434	0.2885432243	0.0000000000	9.0000000000	1.0000000000
107	416.3049926758	368.6260070801	282.4729919434	0.2885432243	0.0000000000	9.0000000000	1.0000000000
107	414.0440063477	370.1270141602	282.1250000000	0.0398898125	0.0000000000	9.0000000000	1.0000000000
