Index	X	Y	Z	cost	equivalent_radius	branch_id	vadose_flag
64	483.7980041504	551.4869995117	324.3039855957	0.1509854794	0.0000000000	23.0000000000	1.0000000000
64	479.8460083008	555.7189941406	334.1350097656	0.1558785439	0.0000000000	23.0000000000	1.0000000000
65	479.8460083008	555.7189941406	334.1350097656	0.1558785439	0.0000000000	23.0000000000	1.0000000000
65	475.2349853516	560.7579956055	343.8919982910	0.1177895069	0.0000000000	23.0000000000	1.0000000000
66	475.2349853516	560.7579956055	343.8919982910	0.1177895069	0.0000000000	23.0000000000	1.0000000000
66	472.9410095215	562.2730102539	352.1510009766	0.0675706863	0.0000000000	23.0000000000	1.0000000000
67	472.9410095215	562.2730102539	352.1510009766	0.0675706863	0.0000000000	23.0000000000	1.0000000000
67	470.8179931641	564.0750122070	356.4649963379	0.1350290775	0.0000000000	23.0000000000	1.0000000000
68	470.8179931641	564.0750122070	356.4649963379	0.1350290775	0.0000000000	23.0000000000	1.0000000000
68	465.2999877930	569.4569702148	363.8479919434	0.1883234978	0.0000000000	24.0000000000	1.0000000000
69	470.8179931641	564.0750122070	356.4649963379	0.1350290775	0.0000000000	23.0000000000	1.0000000000
69	474.2130126953	573.7529907227	355.5150146484	0.2182919979	0.0000000000	23.0000000000	0.0000000000
70	465.2999877930	569.4569702148	363.8479919434	0.1883234978	0.0000000000	24.0000000000	1.0000000000
70	461.7539978027	571.5330200195	372.2799987793	0.0000000000	0.0000000000	24.0000000000	-1.0000000000
71	461.7539978027	571.5330200195	372.2799987793	0.1215636730	0.0000000000	24.0000000000	1.0000000000
71	454.4899902344	574.7839965820	380.5889892578	0.1616544724	0.0000000000	24.0000000000	1.0000000000
72	454.4899902344	574.7839965820	380.5889892578	0.3831195831	0.0000000000	24.0000000000	0.0000000000
72	452.5780029297	575.5089721680	383.6990051270	0.0000000000	0.0000000000	25.0000000000	-1.0000000000
73	454.4899902344	574.7839965820	380.5889892578	0.3831195831	0.0000000000	24.0000000000	0.0000000000
73	435.8859863281	574.8209838867	380.5020141602	0.3831195831	0.0000000000	26.0000000000	0.0000000000
74	452.5780029297	575.5089721680	383.6990051270	0.0496923923	0.0000000000	25.0000000000	1.0000000000
74	444.3659973145	581.5070190430	392.7030029297	0.1958050728	0.0000000000	25.0000000000	1.0000000000
75	444.3659973145	581.5070190430	392.7030029297	0.1958050728	0.0000000000	25.0000000000	1.0000000000
75	438.2090148926	586.0050048828	404.7680053711	0.1129490733	0.0000000000	27.0000000000	1.0000000000
76	444.3659973145	581.5070190430	392.7030029297	0.1958050728	0.0000000000	25.0000000000	1.0000000000
76	441.2420043945	589.0999755859	404.7709960938	0.1173653603	0.0000000000	28.0000000000	1.0000000000
77	438.2090148926	586.0050048828	404.7680053711	0.1129490733	0.0000000000	27.0000000000	1.0000000000
77	425.5759887695	597.4840087891	407.1440124512	0.2199470699	0.0000000000	27.0000000000	1.0000000000
78	425.5759887695	597.4840087891	407.1440124512	0.2199470699	0.0000000000	27.0000000000	1.0000000000
78	418.9100036621	604.0599975586	409.2539978027	0.1246879101	0.0000000000	27.0000000000	1.0000000000
79	418.9100036621	604.0599975586	409.2539978027	0.1246879101	0.0000000000	27.0000000000	1.0000000000
79	415.2590026855	606.2589721680	413.5939941406	0.0760191381	0.0000000000	27.0000000000	1.0000000000
80	415.2590026855	606.2589721680	413.5939941406	0.2568101883	0.0000000000	27.0000000000	1.0000000000
80	409.0050048828	612.7500000000	420.3020019531	0.0000000000	0.0000000000	29.0000000000	-1.0000000000
81	415.2590026855	606.2589721680	413.5939941406	0.2568101883	0.0000000000	27.0000000000	1.0000000000
