Index	X	Y	Z
517	181.615	165.801	65.1357
518	303.255	281.977	28.4861
519	290.395	253.173	2.46352
520	290.575	281.746	6.79744
521	40.0899	74.9695	45.8158
522	15.5553	44.8073	42.0238
523	36.2202	55.7878	30.9175
524	30.0764	72.8793	21.178
525	272.312	138.593	32.0041
526	91.3408	528.855	73.626
527	138.907	484.425	63.0332
528	92.0723	523.501	90.8131
529	143.807	508.865	84.7773
530	3.11957	197.702	17.6116
531	179.952	304.109	51.636
532	226.756	305.433	45.1056
533	194	306.067	42.7197
534	234.896	377.53	29.0472
535	234.393	359.533	47.6277
536	150.244	433.008	21.79
537	115.238	529.262	64.7653
538	125.617	493.18	92.3729
539	145.016	544.903	72.0017
540	127.626	542.013	85.0757
541	89.311	481.4	84.6142
542	178.953	245.96	92.6936
543	210.677	228.653	76.8176
544	199.552	231.602	94.506
545	212.91	246.459	88.8566
546	205.43	182.083	96.0324
547	210.221	201.963	90.2429
548	270.035	212.704	43.9953
549	257.258	229.604	49.6743
550	181.298	173.175	24.7276
551	41.4133	377.785	66.7825
552	260.487	129.463	62.2689
553	231.771	101.77	61.5027
554	51.0812	360.097	56.4898
555	249.668	216.19	40.0355
556	136.66	111.807	40.2724
557	244.377	254.874	66.3037
558	250.309	241.103	78.6413
559	243.618	176.398	80.5441
560	0.63502	47.1663	26.3331
561	170.311	336.721	77.0521
562	175.483	318.053	88.5354
563	37.3512	169.863	57.303
564	47.8636	86.5203	64.3413
565	85.0606	113.39	53.3428
566	30.8213	430.63	55.0053
567	276.463	224.158	25.6429
568	312.511	190.146	22.3915
569	110.874	389.336	22.5087
570	196.462	146.476	60.4256
571	127.055	445.807	27.0131
572	308.074	117.383	61.4005
573	295.934	90.8783	54.9182
574	292.938	128.087	33.6258
575	150.113	244.648	50.3503
576	18.8545	14.004	28.618
577	36.7876	24.1222	24.2622
578	64.5413	158.338	60.4644
579	105.485	120.25	49.1626
580	191.884	54.7484	33.338
581	153.17	61.4938	1.92771
582	219.763	73.3204	14.5758
583	164.776	22.6623	4.5404
584	213.62	40.7155	13.2542
585	28.8484	305.281	24.2944
586	163.664	502.397	99.145
587	156.605	480.947	94.143
588	130.566	485.078	109.203
589	106.663	472.312	104.898
590	128.286	513.509	99.8042
591	262.434	336.148	31.4778
592	283.335	329.532	20.4744
593	267.799	352.463	16.97
594	106.216	463.134	75.2643
595	55.532	449.232	91.4862
596	129.401	457.61	78.3773
597	159.915	411.505	68.6359
598	143.64	349.437	73.1223
599	139.213	398.076	58.6017
600	181.968	388.701	52.4304
601	190.471	357.716	60.5693
602	88.6319	109	74.9764
603	103.467	152.04	86.6339
604	114.118	163.154	66.75
605	101.342	177.284	78.5859
606	55.2198	148.223	82.0441
607	84.8615	175.274	64.7689
608	298.294	169.855	50.4792
609	324.301	126.621	40.3678
610	137.328	69.5962	36.7651
611	115.258	94.607	53.8444
612	43.3587	6.1439	38.9417
613	7.77604	6.97296	47.4993
614	153.721	135.559	84.5765
615	133.006	116.53	80.3753
616	128.266	139.539	86.238
617	83.604	305.777	43.5315
618	286.473	196.359	41.3039
619	26.5489	370.45	50.3183
620	12.6643	392.695	66.9083
621	124.574	205.716	98.9751
622	104.438	189.187	95.5662
623	66.1998	388.438	74.1191
624	51.203	335.468	73.4529
625	56.7228	396.604	84.3327
626	353.767	270.109	9.73453
627	312.007	258.52	21.9608
628	298.969	226.749	3.6299
629	327.136	239.031	24.3993
630	325.579	224.078	6.7015
631	330.171	297.053	13.5669
632	82.9206	294.919	92.2945
633	112.099	296.365	92.5349
634	77.1487	346.733	71.7573
635	79.6097	336.35	62.0711
